workspace,name,version,license,direct,homepage,repository,path
"client","dompurify","3.4.5","(MPL-2.0 OR Apache-2.0)","false","https://github.com/cure53/DOMPurify","git://github.com/cure53/DOMPurify.git","node_modules/dompurify"
"client","opener","1.4.3","(WTFPL OR MIT)","false","","domenic/opener","node_modules/opener"
"client","path-is-inside","1.0.2","(WTFPL OR MIT)","false","","domenic/path-is-inside","node_modules/path-is-inside"
"server","path-is-inside","1.0.2","(WTFPL OR MIT)","false","","domenic/path-is-inside","server/node_modules/path-is-inside"
"client","is-whitespace","0.3.0","{""type"":""MIT"",""url"":""https://github.com/jonschlinkert/is-whitespace/blob/master/LICENSE""}","false","https://github.com/jonschlinkert/is-whitespace","git://github.com/jonschlinkert/is-whitespace.git","node_modules/is-whitespace"
"client","config-chain","1.1.13","{""type"":""MIT"",""url"":""https://raw.githubusercontent.com/dominictarr/config-chain/master/LICENCE""}","false","http://github.com/dominictarr/config-chain","https://github.com/dominictarr/config-chain.git","node_modules/config-chain"
"client","password-prompt","1.1.3","0BSD","false","https://github.com/jdxcode/password-prompt","https://github.com/jdxcode/password-prompt","node_modules/password-prompt"
"client","tslib","1.14.1","0BSD","false","https://www.typescriptlang.org/","https://github.com/Microsoft/tslib.git","node_modules/tslib"
"server","@aws-crypto/crc32","5.2.0","Apache-2.0","false","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/crc32","git@github.com:aws/aws-sdk-js-crypto-helpers.git","server/node_modules/@aws-crypto/crc32"
"server","@aws-crypto/crc32c","5.2.0","Apache-2.0","false","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/crc32c","git@github.com:aws/aws-sdk-js-crypto-helpers.git","server/node_modules/@aws-crypto/crc32c"
"server","@aws-crypto/sha1-browser","5.2.0","Apache-2.0","false","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/sha1-browser","git@github.com:aws/aws-sdk-js-crypto-helpers.git","server/node_modules/@aws-crypto/sha1-browser"
"server","@aws-crypto/sha256-browser","5.2.0","Apache-2.0","false","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/sha256-browser","git@github.com:aws/aws-sdk-js-crypto-helpers.git","server/node_modules/@aws-crypto/sha256-browser"
"server","@aws-crypto/sha256-js","5.2.0","Apache-2.0","false","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/sha256-js","git@github.com:aws/aws-sdk-js-crypto-helpers.git","server/node_modules/@aws-crypto/sha256-js"
"server","@aws-crypto/supports-web-crypto","5.2.0","Apache-2.0","false","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/supports-web-crypto","git@github.com:aws/aws-sdk-js-crypto-helpers.git","server/node_modules/@aws-crypto/supports-web-crypto"
"server","@aws-crypto/util","5.2.0","Apache-2.0","false","https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/util","git@github.com:aws/aws-sdk-js-crypto-helpers.git","server/node_modules/@aws-crypto/util"
"server","@aws-sdk/checksums","3.1000.2","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/checksums","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/checksums"
"server","@aws-sdk/client-s3","3.1063.0","Apache-2.0","true","https://github.com/aws/aws-sdk-js-v3/tree/main/clients/client-s3","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/client-s3"
"server","@aws-sdk/core","3.974.18","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/core","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/core"
"server","@aws-sdk/credential-provider-env","3.972.44","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-env","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/credential-provider-env"
"server","@aws-sdk/credential-provider-http","3.972.46","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-http","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/credential-provider-http"
"server","@aws-sdk/credential-provider-ini","3.972.50","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-ini","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/credential-provider-ini"
"server","@aws-sdk/credential-provider-login","3.972.49","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-login","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/credential-provider-login"
"server","@aws-sdk/credential-provider-node","3.972.52","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-node","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/credential-provider-node"
"server","@aws-sdk/credential-provider-process","3.972.44","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-process","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/credential-provider-process"
"server","@aws-sdk/credential-provider-sso","3.972.49","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-sso","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/credential-provider-sso"
"server","@aws-sdk/credential-provider-web-identity","3.972.49","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/credential-provider-web-identity","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/credential-provider-web-identity"
"server","@aws-sdk/lib-storage","3.1063.0","Apache-2.0","true","https://github.com/aws/aws-sdk-js-v3/tree/main/lib/lib-storage","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/lib-storage"
"server","@aws-sdk/middleware-flexible-checksums","3.974.27","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/middleware-flexible-checksums","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/middleware-flexible-checksums"
"server","@aws-sdk/middleware-sdk-s3","3.972.48","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/middleware-sdk-s3","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/middleware-sdk-s3"
"server","@aws-sdk/nested-clients","3.997.17","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages/nested-clients","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/nested-clients"
"server","@aws-sdk/signature-v4-multi-region","3.996.32","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages/signature-v4-multi-region","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/signature-v4-multi-region"
"server","@aws-sdk/token-providers","3.1063.0","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages/token-providers","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/token-providers"
"server","@aws-sdk/types","3.973.11","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/types","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/types"
"server","@aws-sdk/util-locate-window","3.965.6","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/util-locate-window","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/util-locate-window"
"server","@aws-sdk/xml-builder","3.972.28","Apache-2.0","false","https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/xml-builder","https://github.com/aws/aws-sdk-js-v3.git","server/node_modules/@aws-sdk/xml-builder"
"server","@aws/lambda-invoke-store","0.2.4","Apache-2.0","false","https://github.com/awslabs/aws-lambda-invoke-store","git+https://github.com/awslabs/aws-lambda-invoke-store.git","server/node_modules/@aws/lambda-invoke-store"
"client","@cesium/engine","24.0.0","Apache-2.0","false","https://cesium.com/cesiumjs/","git+https://github.com/CesiumGS/cesium.git","node_modules/@cesium/engine"
"client","@cesium/wasm-splats","0.1.0-alpha.2","Apache-2.0","false","https://cesium.com/cesiumjs/","https://github.com/CesiumGS/cesium-wasm-utils","node_modules/@cesium/wasm-splats"
"client","@cesium/widgets","14.5.0","Apache-2.0","false","https://cesium.com/cesiumjs/","git+https://github.com/CesiumGS/cesium.git","node_modules/@cesium/widgets"
"client","@humanwhocodes/config-array","0.5.0","Apache-2.0","false","https://github.com/humanwhocodes/config-array#readme","git+https://github.com/humanwhocodes/config-array.git","node_modules/@humanwhocodes/config-array"
"server","@prisma/client","6.19.3","Apache-2.0","true","https://www.prisma.io","https://github.com/prisma/prisma.git","server/node_modules/@prisma/client"
"server","@prisma/config","6.19.3","Apache-2.0","false","","https://github.com/prisma/prisma.git","server/node_modules/@prisma/config"
"server","@prisma/debug","6.19.3","Apache-2.0","false","https://www.prisma.io","https://github.com/prisma/prisma.git","server/node_modules/@prisma/debug"
"server","@prisma/engines","6.19.3","Apache-2.0","false","","https://github.com/prisma/prisma.git","server/node_modules/@prisma/engines"
"server","@prisma/engines-version","7.1.1-3.c2990dca591cba766e3b7ef5d9e8a84796e47ab7","Apache-2.0","false","","https://github.com/prisma/engines-wrapper.git","server/node_modules/@prisma/engines-version"
"server","@prisma/fetch-engine","6.19.3","Apache-2.0","false","https://www.prisma.io","https://github.com/prisma/prisma.git","server/node_modules/@prisma/fetch-engine"
"server","@prisma/get-platform","6.19.3","Apache-2.0","false","https://www.prisma.io","https://github.com/prisma/prisma.git","server/node_modules/@prisma/get-platform"
"server","@smithy/core","3.24.6","Apache-2.0","false","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/core","https://github.com/smithy-lang/smithy-typescript.git","server/node_modules/@smithy/core"
"server","@smithy/credential-provider-imds","4.3.8","Apache-2.0","false","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/credential-provider-imds","https://github.com/smithy-lang/smithy-typescript.git","server/node_modules/@smithy/credential-provider-imds"
"server","@smithy/fetch-http-handler","5.4.6","Apache-2.0","false","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/fetch-http-handler","https://github.com/smithy-lang/smithy-typescript.git","server/node_modules/@smithy/fetch-http-handler"
"server","@smithy/is-array-buffer","2.2.0","Apache-2.0","false","https://github.com/awslabs/smithy-typescript/tree/main/packages/is-array-buffer","https://github.com/awslabs/smithy-typescript.git","server/node_modules/@smithy/is-array-buffer"
"server","@smithy/node-http-handler","4.7.7","Apache-2.0","false","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/node-http-handler","https://github.com/smithy-lang/smithy-typescript.git","server/node_modules/@smithy/node-http-handler"
"server","@smithy/signature-v4","5.4.6","Apache-2.0","false","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/signature-v4","https://github.com/smithy-lang/smithy-typescript.git","server/node_modules/@smithy/signature-v4"
"server","@smithy/types","4.14.3","Apache-2.0","false","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/types","https://github.com/smithy-lang/smithy-typescript.git","server/node_modules/@smithy/types"
"server","@smithy/util-buffer-from","2.2.0","Apache-2.0","false","https://github.com/awslabs/smithy-typescript/tree/main/packages/util-buffer-from","https://github.com/awslabs/smithy-typescript.git","server/node_modules/@smithy/util-buffer-from"
"server","@smithy/util-utf8","2.3.0","Apache-2.0","false","https://github.com/awslabs/smithy-typescript/tree/main/packages/util-utf8","https://github.com/awslabs/smithy-typescript.git","server/node_modules/@smithy/util-utf8"
"client","@spz-loader/core","0.3.1","Apache-2.0","false","https://github.com/drumath2237/spz-loader","https://github.com/drumath2237/spz-loader","node_modules/@spz-loader/core"
"client","@videojs/http-streaming","2.16.3","Apache-2.0","false","","git@github.com:videojs/http-streaming.git","node_modules/@videojs/http-streaming"
"client","@webassemblyjs/leb128","1.13.2","Apache-2.0","false","","https://github.com/xtuc/webassemblyjs.git","node_modules/@webassemblyjs/leb128"
"client","@xtuc/long","4.2.2","Apache-2.0","false","","https://github.com/dcodeIO/long.js.git","node_modules/@xtuc/long"
"client","aes-decrypter","3.1.3","Apache-2.0","false","https://github.com/videojs/aes-decrypter#readme","git+https://github.com/videojs/aes-decrypter.git","node_modules/aes-decrypter"
"client","ansi-html-community","0.0.8","Apache-2.0","false","https://github.com/mahdyar/ansi-html-community","git://github.com/mahdyar/ansi-html-community.git","node_modules/ansi-html-community"
"server","aws-sign2","0.7.0","Apache-2.0","false","","https://github.com/mikeal/aws-sign","server/node_modules/aws-sign2"
"client","baseline-browser-mapping","2.10.32","Apache-2.0","false","","git+https://github.com/web-platform-dx/baseline-browser-mapping.git","node_modules/baseline-browser-mapping"
"server","baseline-browser-mapping","2.10.32","Apache-2.0","false","","git+https://github.com/web-platform-dx/baseline-browser-mapping.git","server/node_modules/baseline-browser-mapping"
"client","bser","2.1.1","Apache-2.0","false","https://facebook.github.io/watchman/docs/bser.html","https://github.com/facebook/watchman","node_modules/bser"
"server","bser","2.1.1","Apache-2.0","false","https://facebook.github.io/watchman/docs/bser.html","https://github.com/facebook/watchman","server/node_modules/bser"
"server","caseless","0.12.0","Apache-2.0","false","","https://github.com/mikeal/caseless","server/node_modules/caseless"
"client","cesium","1.140.0","Apache-2.0","true","http://cesium.com/cesiumjs/","https://github.com/CesiumGS/cesium.git","node_modules/cesium"
"server","cluster-key-slot","1.1.2","Apache-2.0","false","https://github.com/Salakar/cluster-key-slot#readme","git+https://github.com/Salakar/cluster-key-slot.git","server/node_modules/cluster-key-slot"
"server","denque","2.1.0","Apache-2.0","false","https://docs.page/invertase/denque","git+https://github.com/invertase/denque.git","server/node_modules/denque"
"server","detect-libc","2.1.2","Apache-2.0","false","","git://github.com/lovell/detect-libc.git","server/node_modules/detect-libc"
"client","doctrine","3.0.0","Apache-2.0","false","https://github.com/eslint/doctrine","eslint/doctrine","node_modules/doctrine"
"server","doctrine","3.0.0","Apache-2.0","false","https://github.com/eslint/doctrine","eslint/doctrine","server/node_modules/doctrine"
"client","draco3d","1.5.7","Apache-2.0","false","","git+https://github.com/google/draco.git","node_modules/draco3d"
"server","ecdsa-sig-formatter","1.0.11","Apache-2.0","false","https://github.com/Brightspace/node-ecdsa-sig-formatter#readme","git+ssh://git@github.com/Brightspace/node-ecdsa-sig-formatter.git","server/node_modules/ecdsa-sig-formatter"
"client","ejs","3.1.10","Apache-2.0","false","https://github.com/mde/ejs","git://github.com/mde/ejs.git","node_modules/ejs"
"client","eslint-visitor-keys","1.3.0","Apache-2.0","false","https://github.com/eslint/eslint-visitor-keys#readme","eslint/eslint-visitor-keys","node_modules/eslint-visitor-keys"
"server","eslint-visitor-keys","1.3.0","Apache-2.0","false","https://github.com/eslint/eslint-visitor-keys#readme","eslint/eslint-visitor-keys","server/node_modules/eslint-visitor-keys"
"client","faye-websocket","0.11.4","Apache-2.0","false","https://github.com/faye/faye-websocket-node","git://github.com/faye/faye-websocket-node.git","node_modules/faye-websocket"
"client","fb-watchman","2.0.2","Apache-2.0","false","https://facebook.github.io/watchman/","git@github.com:facebook/watchman.git","node_modules/fb-watchman"
"server","fb-watchman","2.0.2","Apache-2.0","false","https://facebook.github.io/watchman/","git@github.com:facebook/watchman.git","server/node_modules/fb-watchman"
"client","filelist","1.0.6","Apache-2.0","false","https://github.com/mde/filelist","git://github.com/mde/filelist.git","node_modules/filelist"
"server","forever-agent","0.6.1","Apache-2.0","false","","https://github.com/mikeal/forever-agent","server/node_modules/forever-agent"
"client","human-signals","2.1.0","Apache-2.0","false","https://git.io/JeluP","ehmicky/human-signals","node_modules/human-signals"
"server","human-signals","2.1.0","Apache-2.0","false","https://git.io/JeluP","ehmicky/human-signals","server/node_modules/human-signals"
"client","jake","10.9.4","Apache-2.0","false","","git://github.com/jakejs/jake.git","node_modules/jake"
"client","lerc","2.0.0","Apache-2.0","false","https://github.com/Esri/lerc","https://github.com/Esri/lerc.git","node_modules/lerc"
"client","long","5.3.2","Apache-2.0","false","","https://github.com/dcodeIO/long.js.git","node_modules/long"
"server","long","4.0.0","Apache-2.0","false","","https://github.com/dcodeIO/long.js.git","server/node_modules/long"
"client","m3u8-parser","4.8.0","Apache-2.0","false","","git@github.com:videojs/m3u8-parser.git","node_modules/m3u8-parser"
"client","mpd-parser","0.22.1","Apache-2.0","false","","git@github.com:videojs/mpd-parser.git","node_modules/mpd-parser"
"client","mux.js","6.0.1","Apache-2.0","false","","https://github.com/videojs/mux.js.git","node_modules/mux.js"
"server","oauth-sign","0.9.0","Apache-2.0","false","","https://github.com/mikeal/oauth-sign","server/node_modules/oauth-sign"
"client","pkcs7","1.0.4","Apache-2.0","false","https://github.com/brightcove/pkcs7","https://github.com/brightcove/pkcs7","node_modules/pkcs7"
"server","prisma","6.19.3","Apache-2.0","true","https://www.prisma.io","https://github.com/prisma/prisma.git","server/node_modules/prisma"
"server","request","2.88.2","Apache-2.0","false","","https://github.com/request/request.git","server/node_modules/request"
"client","rxjs","5.5.12","Apache-2.0","false","https://github.com/ReactiveX/RxJS","git@github.com:ReactiveX/RxJS.git","node_modules/rxjs"
"server","rxjs","6.6.7","Apache-2.0","false","https://github.com/ReactiveX/RxJS","https://github.com/reactivex/rxjs.git","server/node_modules/rxjs"
"server","sharp","0.34.5","Apache-2.0","true","https://sharp.pixelplumbing.com","git://github.com/lovell/sharp.git","server/node_modules/sharp"
"client","spdx-correct","3.2.0","Apache-2.0","false","","jslicense/spdx-correct.js","node_modules/spdx-correct"
"server","spdx-correct","3.2.0","Apache-2.0","false","","jslicense/spdx-correct.js","server/node_modules/spdx-correct"
"client","strip-pragma-loader","1.0.1","Apache-2.0","true","https://github.com/AnalyticalGraphicsInc/strip-pragma-loader","https://github.com/AnalyticalGraphicsInc/strip-pragma-loader","node_modules/strip-pragma-loader"
"server","tslib","1.11.1","Apache-2.0","false","https://www.typescriptlang.org/","https://github.com/Microsoft/tslib.git","server/node_modules/tslib"
"client","tunnel-agent","0.6.0","Apache-2.0","false","","https://github.com/mikeal/tunnel-agent","node_modules/tunnel-agent"
"server","tunnel-agent","0.6.0","Apache-2.0","false","","https://github.com/mikeal/tunnel-agent","server/node_modules/tunnel-agent"
"server","typescript","5.9.3","Apache-2.0","true","https://www.typescriptlang.org/","https://github.com/microsoft/TypeScript.git","server/node_modules/typescript"
"client","url-toolkit","2.2.5","Apache-2.0","false","https://github.com/tjenkinson/url-toolkit#readme","git+https://github.com/tjenkinson/url-toolkit.git","node_modules/url-toolkit"
"client","validate-npm-package-license","3.0.4","Apache-2.0","false","","kemitchell/validate-npm-package-license.js","node_modules/validate-npm-package-license"
"server","validate-npm-package-license","3.0.4","Apache-2.0","false","","kemitchell/validate-npm-package-license.js","server/node_modules/validate-npm-package-license"
"client","video.js","7.21.7","Apache-2.0","true","https://videojs.com","https://github.com/videojs/video.js.git","node_modules/video.js"
"client","videojs-font","3.2.0","Apache-2.0","false","https://github.com/videojs/font","https://github.com/videojs/font.git","node_modules/videojs-font"
"client","videojs-vtt.js","0.15.5","Apache-2.0","false","https://github.com/videojs/vtt.js","https://github.com/videojs/vtt.js.git","node_modules/videojs-vtt.js"
"client","walker","1.0.8","Apache-2.0","false","https://github.com/daaku/nodejs-walker","https://github.com/daaku/nodejs-walker","node_modules/walker"
"server","walker","1.0.8","Apache-2.0","false","https://github.com/daaku/nodejs-walker","https://github.com/daaku/nodejs-walker","server/node_modules/walker"
"client","websocket-driver","0.7.4","Apache-2.0","false","https://github.com/faye/websocket-driver-node","git://github.com/faye/websocket-driver-node.git","node_modules/websocket-driver"
"client","websocket-extensions","0.1.4","Apache-2.0","false","http://github.com/faye/websocket-extensions-node","git://github.com/faye/websocket-extensions-node.git","node_modules/websocket-extensions"
"client","xml-name-validator","4.0.0","Apache-2.0","false","","jsdom/xml-name-validator","node_modules/xml-name-validator"
"server","@img/sharp-win32-x64","0.34.5","Apache-2.0 AND LGPL-3.0-or-later","false","https://sharp.pixelplumbing.com","git+https://github.com/lovell/sharp.git","server/node_modules/@img/sharp-win32-x64"
"client","jackspeak","3.4.3","BlueOak-1.0.0","false","","git+https://github.com/isaacs/jackspeak.git","node_modules/jackspeak"
"client","package-json-from-dist","1.0.1","BlueOak-1.0.0","false","","git+https://github.com/isaacs/package-json-from-dist.git","node_modules/package-json-from-dist"
"client","path-scurry","1.11.1","BlueOak-1.0.0","false","","git+https://github.com/isaacs/path-scurry","node_modules/path-scurry"
"client","sax","1.6.0","BlueOak-1.0.0","false","","git+ssh://git@github.com/isaacs/sax-js.git","node_modules/sax"
"client","browser-process-hrtime","1.0.0","BSD-2-Clause","false","","git://github.com/kumavis/browser-process-hrtime.git","node_modules/browser-process-hrtime"
"client","configstore","3.1.5","BSD-2-Clause","false","","yeoman/configstore","node_modules/configstore"
"client","css-select","4.3.0","BSD-2-Clause","false","","git://github.com/fb55/css-select.git","node_modules/css-select"
"client","css-what","6.2.2","BSD-2-Clause","false","","https://github.com/fb55/css-what","node_modules/css-what"
"client","default-gateway","6.0.3","BSD-2-Clause","false","","silverwind/default-gateway","node_modules/default-gateway"
"client","domelementtype","2.3.0","BSD-2-Clause","false","","git://github.com/fb55/domelementtype.git","node_modules/domelementtype"
"client","domhandler","4.3.1","BSD-2-Clause","false","","git://github.com/fb55/domhandler.git","node_modules/domhandler"
"client","domutils","2.8.0","BSD-2-Clause","false","","git://github.com/fb55/domutils.git","node_modules/domutils"
"client","dotenv","10.0.0","BSD-2-Clause","false","","git://github.com/motdotla/dotenv.git","node_modules/dotenv"
"server","dotenv","16.6.1","BSD-2-Clause","true","https://github.com/motdotla/dotenv#readme","git://github.com/motdotla/dotenv.git","server/node_modules/dotenv"
"client","dotenv-expand","5.1.0","BSD-2-Clause","false","","","node_modules/dotenv-expand"
"client","entities","7.0.1","BSD-2-Clause","false","","https://github.com/fb55/entities.git","node_modules/entities"
"client","escodegen","2.1.0","BSD-2-Clause","false","http://github.com/estools/escodegen","http://github.com/estools/escodegen.git","node_modules/escodegen"
"client","eslint-scope","5.1.1","BSD-2-Clause","false","http://github.com/eslint/eslint-scope","eslint/eslint-scope","node_modules/eslint-scope"
"server","eslint-scope","4.0.3","BSD-2-Clause","false","http://github.com/eslint/eslint-scope","eslint/eslint-scope","server/node_modules/eslint-scope"
"client","espree","7.3.1","BSD-2-Clause","false","https://github.com/eslint/espree","eslint/espree","node_modules/espree"
"server","espree","5.0.1","BSD-2-Clause","false","https://github.com/eslint/espree","eslint/espree","server/node_modules/espree"
"client","esprima","4.0.1","BSD-2-Clause","false","http://esprima.org","https://github.com/jquery/esprima.git","node_modules/esprima"
"server","esprima","4.0.1","BSD-2-Clause","false","http://esprima.org","https://github.com/jquery/esprima.git","server/node_modules/esprima"
"client","esrecurse","4.3.0","BSD-2-Clause","false","https://github.com/estools/esrecurse","https://github.com/estools/esrecurse.git","node_modules/esrecurse"
"server","esrecurse","4.3.0","BSD-2-Clause","false","https://github.com/estools/esrecurse","https://github.com/estools/esrecurse.git","server/node_modules/esrecurse"
"client","estraverse","4.3.0","BSD-2-Clause","false","https://github.com/estools/estraverse","http://github.com/estools/estraverse.git","node_modules/estraverse"
"server","estraverse","4.3.0","BSD-2-Clause","false","https://github.com/estools/estraverse","http://github.com/estools/estraverse.git","server/node_modules/estraverse"
"client","esutils","2.0.3","BSD-2-Clause","false","https://github.com/estools/esutils","http://github.com/estools/esutils.git","node_modules/esutils"
"server","esutils","2.0.3","BSD-2-Clause","false","https://github.com/estools/esutils","http://github.com/estools/esutils.git","server/node_modules/esutils"
"client","git-parse","2.1.1","BSD-2-Clause","false","","https://github.com/wayfair/git-parse","node_modules/git-parse"
"client","glob-to-regexp","0.4.1","BSD-2-Clause","false","","https://github.com/fitzgen/glob-to-regexp.git","node_modules/glob-to-regexp"
"client","normalize-package-data","2.5.0","BSD-2-Clause","false","","git://github.com/npm/normalize-package-data.git","node_modules/normalize-package-data"
"server","normalize-package-data","2.5.0","BSD-2-Clause","false","","git://github.com/npm/normalize-package-data.git","server/node_modules/normalize-package-data"
"client","nth-check","2.1.1","BSD-2-Clause","false","https://github.com/fb55/nth-check","https://github.com/fb55/nth-check","node_modules/nth-check"
"client","ol","5.3.3","BSD-2-Clause","true","https://openlayers.org/","git://github.com/openlayers/openlayers.git","node_modules/ol"
"client","olcs","2.23.0","BSD-2-Clause","true","https://github.com/openlayers/ol-cesium/","git://github.com/openlayers/ol-cesium.git","node_modules/olcs"
"client","regjsparser","0.13.1","BSD-2-Clause","false","https://github.com/jviereck/regjsparser","git+ssh://git@github.com/jviereck/regjsparser.git","node_modules/regjsparser"
"client","staged-git-files","1.0.0","BSD-2-Clause","false","","git://github.com/mcwhittemore/staged-git-files.git","node_modules/staged-git-files"
"client","stringify-object","3.3.0","BSD-2-Clause","false","","yeoman/stringify-object","node_modules/stringify-object"
"client","terser","5.48.0","BSD-2-Clause","false","https://terser.org","https://github.com/terser/terser","node_modules/terser"
"server","uglify-js","3.19.3","BSD-2-Clause","false","","mishoo/UglifyJS","server/node_modules/uglify-js"
"client","update-notifier","2.5.0","BSD-2-Clause","false","","yeoman/update-notifier","node_modules/update-notifier"
"client","uri-js","4.4.1","BSD-2-Clause","false","https://github.com/garycourt/uri-js","http://github.com/garycourt/uri-js","node_modules/uri-js"
"server","uri-js","4.4.1","BSD-2-Clause","false","https://github.com/garycourt/uri-js","http://github.com/garycourt/uri-js","server/node_modules/uri-js"
"client","webidl-conversions","6.1.0","BSD-2-Clause","false","","jsdom/webidl-conversions","node_modules/webidl-conversions"
